,CLAGE,CLNO,DEBTINC,DELINQ,DEROG,JOB,LOAN,MORTDUE,NINQ,REASON,VALUE,YOJ
5145,124.99095,26.0,32.08868,0.0,0.0,ProfExe,27600,112753.0,3.0,DebtCon,155166.0,6.0
3192,247.2959,20.0,25.632116,0.0,0.0,ProfExe,17100,54598.0,0.0,DebtCon,115838.0,14.0
2726,179.56667,18.0,,0.0,0.0,,15400,110900.0,1.0,DebtCon,126400.0,16.0
870,53.76762,23.0,35.932026,0.0,0.0,ProfExe,8800,135899.0,1.0,DebtCon,202788.0,1.0
1242,116.67937,23.0,42.775642,,,Mgr,10200,51108.0,,DebtCon,68673.0,6.0
4798,125.79586,29.0,38.372223,1.0,0.0,Other,25100,58042.0,0.0,DebtCon,98964.0,16.0
1756,79.67789,20.0,33.773304,0.0,0.0,ProfExe,12000,84191.0,1.0,HomeImp,100654.0,0.0
2749,254.70773,30.0,40.9873,3.0,,Office,15500,97596.0,1.0,DebtCon,119326.0,0.0
5903,99.433334,21.0,,0.0,0.0,ProfExe,63300,202000.0,2.0,DebtCon,281000.0,2.0
5175,94.93254,23.0,33.0979,1.0,0.0,Office,27900,55859.0,0.0,DebtCon,92179.0,0.0
3235,219.30937,16.0,37.76321,0.0,0.0,Office,17300,20798.0,0.0,,37980.0,2.0
2245,221.22314,28.0,41.482143,0.0,0.0,Office,13800,73688.0,2.0,DebtCon,94071.0,9.0
5464,155.5369,23.0,38.053318,0.0,0.0,Other,32800,189564.0,0.0,DebtCon,296728.0,27.0
648,203.99713,17.0,23.562565,0.0,0.0,ProfExe,8000,61565.0,0.0,DebtCon,87624.0,14.0
5697,112.79603,20.0,,,6.0,Other,41400,,,DebtCon,46000.0,
2715,310.36676,16.0,17.601206,0.0,0.0,ProfExe,15400,10074.0,0.0,DebtCon,57135.0,4.0
1943,129.15262,11.0,37.838272,0.0,0.0,Other,12700,59440.0,3.0,DebtCon,88690.0,0.0
3582,276.72742,16.0,32.294304,0.0,0.0,Office,18800,91731.0,2.0,DebtCon,125902.0,24.0
995,338.62903,38.0,34.169514,0.0,0.0,Office,9400,81596.0,1.0,HomeImp,116738.0,28.0
2700,125.94259,30.0,37.689392,0.0,0.0,ProfExe,15300,109767.0,0.0,DebtCon,117552.0,0.0
1395,268.9,20.0,,0.0,0.0,Office,10800,11950.0,0.0,HomeImp,46780.0,24.0
5896,313.3344,27.0,35.02858,0.0,0.0,ProfExe,60000,122729.0,2.0,DebtCon,207797.0,9.0
3509,199.72377,15.0,36.98273,0.0,0.0,Office,18500,23618.0,0.0,,37539.0,1.0
4795,307.74973,19.0,39.277023,0.0,0.0,Other,25100,,0.0,DebtCon,59783.0,
977,148.03334,19.0,,1.0,1.0,Office,9300,24000.0,2.0,DebtCon,37125.0,3.5
4003,332.08282,27.0,32.346397,4.0,,Mgr,20900,133213.0,1.0,,174787.0,26.0
5451,172.36215,24.0,36.489098,0.0,0.0,Office,32400,51220.0,2.0,DebtCon,106361.0,3.0
1740,95.73333,25.0,,0.0,0.0,Mgr,12000,114390.0,0.0,DebtCon,132800.0,10.0
2480,269.71854,35.0,38.50789,0.0,0.0,ProfExe,14800,41807.0,1.0,DebtCon,50931.0,4.0
3237,180.93149,25.0,30.587967,0.0,0.0,Office,17200,52276.0,0.0,DebtCon,69860.0,0.0
1098,32.414932,24.0,39.37187,0.0,0.0,ProfExe,9800,63891.0,2.0,DebtCon,72980.0,7.0
3707,69.00503,16.0,42.500027,,,Other,19500,58638.0,0.0,DebtCon,13930.0,4.0
1311,258.55493,14.0,20.260199,0.0,0.0,Other,10500,13694.0,0.0,DebtCon,87580.0,8.0
4551,119.71195,5.0,19.624527,0.0,0.0,Office,23800,,2.0,HomeImp,71798.0,6.0
1675,239.45712,10.0,24.534998,0.0,0.0,ProfExe,11900,28329.0,0.0,HomeImp,80963.0,21.0
4777,119.666664,21.0,,5.0,1.0,Other,25000,11300.0,1.0,DebtCon,154340.0,19.0
3251,123.25706,12.0,25.557592,0.0,0.0,ProfExe,17400,58941.0,0.0,HomeImp,88470.0,4.0
3013,217.78683,19.0,,1.0,0.0,Office,16500,94403.0,0.0,DebtCon,,9.0
1827,212.86667,17.0,,4.0,,Mgr,12300,77000.0,4.0,DebtCon,94000.0,41.0
3893,176.32849,26.0,36.67688,0.0,0.0,Office,20400,44746.0,2.0,DebtCon,63433.0,5.0
4983,221.50684,26.0,20.269918,0.0,0.0,ProfExe,26400,130672.0,3.0,DebtCon,212536.0,10.0
886,166.2,33.0,,3.0,0.0,Mgr,8900,33208.0,1.0,DebtCon,75000.0,22.0
2923,91.3,15.0,,0.0,0.0,Other,16100,33209.0,1.0,DebtCon,52000.0,8.0
3174,120.23894,15.0,33.953594,,,Office,17000,98451.0,2.0,DebtCon,138012.0,3.0
4513,110.0542,15.0,41.84169,0.0,0.0,Other,23500,86144.0,3.0,DebtCon,138953.0,13.0
1948,136.95694,22.0,39.431664,0.0,0.0,Other,12700,37346.0,0.0,HomeImp,53511.0,23.0
197,258.7893,14.0,26.722343,0.0,0.0,Other,5100,,0.0,DebtCon,26715.0,1.0
3414,189.87427,42.0,37.352104,0.0,0.0,ProfExe,18000,54196.0,1.0,DebtCon,71412.0,10.0
5822,187.39359,16.0,30.429247,,0.0,Office,50100,35910.0,1.0,DebtCon,64042.0,4.0
1745,219.13333,33.0,,2.0,0.0,Other,12000,59099.0,0.0,DebtCon,82000.0,10.0
4048,200.01492,13.0,29.641287,0.0,0.0,Other,21200,70096.0,1.0,HomeImp,108632.0,4.0
253,82.294266,2.0,36.986744,1.0,0.0,Other,5500,,0.0,HomeImp,12972.0,1.0
4440,230.36162,24.0,39.872707,,,Mgr,23100,71680.0,5.0,DebtCon,101492.0,1.0
2159,250.56136,12.0,34.91379,0.0,0.0,ProfExe,13500,63572.0,0.0,HomeImp,102739.0,7.0
3305,85.043335,30.0,47.840294,1.0,2.0,Other,17600,76043.0,6.0,DebtCon,95605.0,3.0
3205,118.866135,9.0,34.60283,0.0,0.0,Other,17200,89507.0,1.0,DebtCon,121047.0,14.0
5715,201.43027,30.0,43.195194,0.0,0.0,Other,42100,17852.0,1.0,DebtCon,65877.0,18.0
610,122.066666,22.0,,7.0,0.0,Other,7700,14589.0,0.0,DebtCon,33100.0,3.0
624,231.00119,32.0,35.906116,0.0,0.0,Other,7800,38506.0,0.0,DebtCon,50309.0,11.0
5248,384.28503,45.0,41.34201,0.0,0.0,Office,28500,84908.0,0.0,DebtCon,108385.0,10.0
3480,153.84976,21.0,21.762827,0.0,0.0,ProfExe,18400,89101.0,2.0,DebtCon,118748.0,7.0
195,273.8817,6.0,39.852146,0.0,1.0,Other,5100,72891.0,0.0,HomeImp,80691.0,1.0
4933,125.76667,23.0,,4.0,0.0,ProfExe,26000,79714.0,0.0,DebtCon,,1.0
1212,219.38528,16.0,40.751648,0.0,0.0,Other,10100,87942.0,2.0,DebtCon,106000.0,13.0
2132,195.87764,15.0,24.877508,0.0,0.0,ProfExe,13300,49491.0,0.0,DebtCon,69028.0,16.0
1329,117.05239,26.0,21.446281,0.0,0.0,,10500,47483.0,0.0,DebtCon,53877.0,9.0
5389,200.50912,15.0,42.387985,0.0,0.0,Other,30800,15428.0,0.0,DebtCon,45495.0,28.0
2834,241.73613,42.0,39.221893,,,Mgr,15800,94363.0,2.0,DebtCon,128434.0,4.0
2995,202.3225,19.0,20.380465,0.0,0.0,ProfExe,16400,62018.0,0.0,DebtCon,91832.0,9.0
4534,408.18765,23.0,24.200935,0.0,0.0,Sales,23700,,0.0,DebtCon,78878.0,4.0
1443,241.06079,10.0,25.2186,0.0,0.0,ProfExe,11000,21738.0,0.0,HomeImp,86586.0,20.0
613,179.24094,28.0,27.231094,0.0,0.0,Other,7700,51045.0,0.0,HomeImp,91068.0,20.0
4729,176.5,17.0,,0.0,0.0,Self,25000,145000.0,1.0,HomeImp,185000.0,2.0
3753,63.535255,19.0,40.44238,0.0,0.0,Other,19900,4641.0,1.0,DebtCon,23636.0,
1848,70.33753,24.0,35.21218,1.0,0.0,Other,12400,45604.0,1.0,DebtCon,65501.0,9.0
789,76.01075,9.0,37.659668,1.0,,Other,8500,,0.0,HomeImp,42980.0,
908,411.75308,49.0,41.66428,,,Other,9000,93521.0,1.0,HomeImp,126024.0,9.0
3695,58.861027,9.0,38.121517,0.0,0.0,Office,19500,100077.0,0.0,DebtCon,122352.0,3.0
4619,126.92269,10.0,23.040945,0.0,0.0,Other,24200,22763.0,1.0,DebtCon,47622.0,23.0
4508,116.81865,20.0,35.866116,0.0,1.0,ProfExe,23500,94109.0,0.0,DebtCon,97194.0,1.0
5244,123.613174,21.0,44.520554,,,Other,28500,73188.0,11.0,HomeImp,111925.0,5.0
2046,132.86667,14.0,,0.0,1.0,Other,13000,36223.0,0.0,DebtCon,,9.0
3529,213.45053,16.0,40.250034,0.0,0.0,Office,18600,20915.0,0.0,,40098.0,2.0
1583,262.8902,36.0,39.547882,0.0,0.0,Office,11500,61264.0,3.0,DebtCon,75647.0,11.0
2401,104.404594,27.0,24.350857,0.0,0.0,ProfExe,14400,78777.0,1.0,HomeImp,103344.0,5.0
699,184.19342,15.0,32.39651,0.0,0.0,,8100,66691.0,0.0,DebtCon,82768.0,4.0
507,71.0,18.0,,1.0,1.0,Mgr,7100,54000.0,4.0,DebtCon,74800.0,7.5
921,194.8,16.0,,2.0,0.0,Other,9000,96884.0,2.0,DebtCon,110108.0,18.0
2420,118.97606,14.0,25.96306,0.0,0.0,,14600,,0.0,,66776.0,8.0
2061,90.933334,9.0,,,,Other,13000,,2.0,DebtCon,25425.0,13.0
1994,65.1075,20.0,34.696365,0.0,0.0,ProfExe,12900,87270.0,1.0,HomeImp,97929.0,0.0
768,190.0175,19.0,25.768965,,,Office,8400,41656.0,,HomeImp,51846.0,10.0
725,196.72417,20.0,34.745743,0.0,0.0,Other,8200,120837.0,0.0,DebtCon,176244.0,8.0
1999,77.13333,18.0,,0.0,0.0,Other,12900,46266.0,5.0,DebtCon,62000.0,7.0
5814,235.43333,33.0,,0.0,0.0,ProfExe,50000,174900.0,2.0,DebtCon,250000.0,5.5
4893,102.96034,26.0,41.277126,0.0,0.0,Other,25700,197425.0,2.0,DebtCon,242602.0,8.0
779,56.309765,21.0,23.521189,0.0,0.0,Other,8400,57103.0,8.0,DebtCon,78079.0,0.0
3542,104.53333,19.0,,0.0,0.0,ProfExe,18600,,1.0,DebtCon,20700.0,6.0
1192,15.233334,1.0,,0.0,2.0,Other,10000,50070.0,0.0,HomeImp,60670.0,5.0
3658,80.60236,23.0,37.508102,0.0,0.0,Office,19200,57728.0,0.0,DebtCon,96552.0,0.0
45,262.16666,26.0,,1.0,0.0,ProfExe,3000,47000.0,5.0,HomeImp,82700.0,10.0
1320,138.03334,27.0,,0.0,0.0,Mgr,10500,74000.0,2.0,DebtCon,89000.0,6.0
626,295.11343,13.0,23.245672,0.0,0.0,Other,7800,,0.0,DebtCon,30320.0,2.0
331,111.3,11.0,,4.0,,Mgr,6100,48500.0,2.0,DebtCon,62500.0,7.0
5804,207.56406,37.0,40.302868,0.0,0.0,Self,49800,44462.0,3.0,HomeImp,102203.0,8.0
5534,208.0,34.0,,1.0,0.0,Office,34800,121399.0,2.0,DebtCon,164000.0,11.0
5504,59.042706,6.0,16.49508,0.0,0.0,Other,33700,28956.0,0.0,DebtCon,45640.0,0.0
805,202.95427,16.0,34.828648,0.0,0.0,Other,8500,47777.0,1.0,HomeImp,78979.0,18.0
4758,296.2,27.0,,2.0,1.0,ProfExe,25000,95000.0,2.0,HomeImp,127000.0,15.0
4626,71.18199,19.0,36.4962,0.0,0.0,Other,24300,50826.0,1.0,DebtCon,68199.0,7.0
1642,198.54335,16.0,38.72126,2.0,0.0,Other,11700,101520.0,1.0,DebtCon,110617.0,18.0
5711,209.89769,30.0,39.946384,0.0,0.0,Other,42000,21314.0,1.0,DebtCon,68047.0,21.0
2594,268.83334,26.0,,0.0,7.0,ProfExe,15000,40000.0,3.0,,58000.0,4.0
5107,328.16812,35.0,39.159554,0.0,0.0,ProfExe,27300,149950.0,0.0,DebtCon,177309.0,6.0
4129,313.4273,18.0,37.971355,4.0,1.0,Mgr,21600,144276.0,2.0,DebtCon,190797.0,0.0
1436,72.49466,23.0,35.667645,0.0,0.0,Other,10900,45028.0,0.0,DebtCon,61014.0,10.0
1253,193.50896,16.0,29.087996,0.0,0.0,,10200,73157.0,0.0,DebtCon,83858.0,3.0
1401,95.03917,34.0,40.396233,0.0,0.0,Other,10700,50210.0,2.0,HomeImp,64838.0,9.0
4980,184.38495,21.0,31.489906,0.0,0.0,Office,26400,43781.0,2.0,DebtCon,66030.0,17.0
550,207.76842,30.0,29.937918,0.0,0.0,,7400,48924.0,4.0,DebtCon,86612.0,4.0
3431,111.53221,16.0,24.449453,0.0,0.0,Mgr,18100,27239.0,1.0,DebtCon,39723.0,17.0
1125,60.634468,9.0,31.688135,0.0,0.0,Mgr,9900,31244.0,1.0,HomeImp,44138.0,14.0
2308,,,,,,Other,14000,,,DebtCon,42500.0,
91,,0.0,,0.0,0.0,,4000,,0.0,HomeImp,45760.0,0.0
1206,207.61731,31.0,38.86795,0.0,0.0,ProfExe,10000,64375.0,3.0,DebtCon,72418.0,14.0
25,93.811775,13.0,29.681828,0.0,0.0,Office,2400,98449.0,0.0,HomeImp,117195.0,4.0
3443,122.71771,39.0,33.693832,0.0,0.0,Other,18200,55406.0,0.0,DebtCon,78682.0,
3452,69.410774,22.0,35.35729,0.0,0.0,Office,18200,62141.0,0.0,DebtCon,90434.0,0.0
5399,153.08685,22.0,40.296772,0.0,0.0,Other,31300,188655.0,0.0,DebtCon,298090.0,28.0
3820,110.6,17.0,,0.0,0.0,Mgr,20000,77900.0,0.0,DebtCon,105400.0,4.0
358,212.53764,19.0,20.616783,0.0,0.0,ProfExe,6200,133882.0,0.0,HomeImp,155222.0,9.0
3782,214.03334,25.0,,2.0,0.0,Other,20000,13316.0,0.0,DebtCon,50150.0,26.0
4209,171.5767,16.0,37.8004,,,Office,21900,61838.0,,DebtCon,92091.0,5.0
4321,187.16615,16.0,37.46042,,,Office,22500,62137.0,,DebtCon,95708.0,4.0
517,84.83725,17.0,22.8612,0.0,0.0,Other,7100,53273.0,0.0,HomeImp,54378.0,5.0
5238,188.75247,18.0,25.330372,0.0,0.0,Other,28400,106020.0,0.0,DebtCon,206030.0,22.0
3064,185.37247,31.0,35.25727,0.0,0.0,Other,16700,62933.0,0.0,DebtCon,91790.0,2.0
159,88.7,3.0,,0.0,0.0,Other,5000,16600.0,1.0,HomeImp,25250.0,6.0
2504,134.86,23.0,29.535059,0.0,0.0,Other,14900,87391.0,4.0,HomeImp,99494.0,18.0
586,344.9,30.0,,4.0,1.0,Office,7500,42077.0,1.0,HomeImp,91676.0,5.5
3206,120.32398,48.0,30.55651,1.0,0.0,Other,17200,52011.0,2.0,DebtCon,65800.0,7.0
1073,81.4614,9.0,27.705856,1.0,0.0,Office,9700,77394.0,0.0,DebtCon,86917.0,16.0
1095,258.33463,16.0,36.035713,0.0,0.0,Other,9800,54861.0,2.0,HomeImp,71138.0,4.0
1096,171.41367,29.0,25.62165,0.0,0.0,Other,9800,56188.0,0.0,HomeImp,90143.0,17.0
5705,180.60887,23.0,42.071644,0.0,0.0,Other,41700,,0.0,HomeImp,854112.0,16.0
5749,111.98066,5.0,37.466976,0.0,0.0,Other,33900,13154.0,1.0,DebtCon,62208.0,1.0
4635,145.29274,9.0,22.98482,0.0,0.0,Other,24300,,0.0,DebtCon,60628.0,23.0
3380,247.97282,42.0,40.591686,,,Mgr,18000,97523.0,3.0,DebtCon,130166.0,5.0
4594,303.29428,27.0,,6.0,1.0,ProfExe,24000,136000.0,1.0,DebtCon,,3.0
5669,328.19888,15.0,40.799923,0.0,0.0,ProfExe,40300,369874.0,4.0,HomeImp,467112.0,2.0
2975,246.75467,12.0,36.409096,0.0,0.0,ProfExe,16300,69327.0,1.0,HomeImp,102426.0,8.0
887,159.4327,19.0,34.371147,0.0,0.0,Self,8900,111493.0,0.0,DebtCon,133191.0,6.0
4087,172.03107,38.0,19.63707,0.0,1.0,ProfExe,21400,134041.0,0.0,DebtCon,163103.0,6.0
3294,100.28122,15.0,31.66932,,,Office,17500,102858.0,2.0,DebtCon,138977.0,2.0
5369,95.181435,6.0,37.582897,0.0,0.0,Other,30300,18306.0,1.0,DebtCon,66747.0,1.0
591,60.503624,24.0,39.280514,0.0,0.0,ProfExe,7500,60192.0,2.0,DebtCon,76475.0,8.0
5274,294.42,22.0,37.53746,0.0,0.0,Other,28800,30357.0,0.0,DebtCon,56776.0,35.0
3984,323.59518,17.0,43.03775,0.0,0.0,Mgr,20800,136884.0,0.0,HomeImp,180053.0,9.0
309,140.93333,20.0,,0.0,0.0,Other,6000,33600.0,1.0,HomeImp,,2.0
783,125.71033,34.0,37.622784,0.0,0.0,Other,8400,57694.0,0.0,HomeImp,70782.0,4.0
362,124.7456,12.0,35.64227,0.0,0.0,Office,6300,99469.0,1.0,HomeImp,116260.0,23.0
1535,98.224144,14.0,25.52508,0.0,0.0,Office,11300,61810.0,1.0,DebtCon,79817.0,6.0
2701,134.24265,22.0,35.08572,0.0,0.0,ProfExe,15300,54412.0,2.0,DebtCon,95123.0,6.0
4060,231.01924,24.0,41.559303,1.0,0.0,Office,21200,113648.0,0.0,DebtCon,145650.0,11.0
5381,164.60487,23.0,39.60145,1.0,0.0,Other,30900,190480.0,0.0,DebtCon,298239.0,27.0
551,238.5863,38.0,18.42137,0.0,0.0,Office,7400,73985.0,1.0,DebtCon,114849.0,0.0
2500,288.58188,20.0,28.275562,0.0,0.0,Other,14900,65843.0,0.0,HomeImp,86628.0,
3926,107.67138,49.0,39.687088,1.0,1.0,Other,20500,106839.0,4.0,DebtCon,144460.0,13.0
3417,154.426,18.0,33.678024,0.0,0.0,Other,18100,81916.0,0.0,DebtCon,104048.0,0.0
4350,133.44748,11.0,24.201086,,0.0,Self,22600,31933.0,,HomeImp,47669.0,4.0
3927,39.98583,16.0,34.068268,0.0,9.0,Other,20500,85884.0,5.0,DebtCon,103546.0,5.0
1094,122.705536,23.0,28.896101,1.0,0.0,Mgr,9800,55330.0,0.0,HomeImp,78154.0,2.0
4305,140.6955,24.0,31.86981,0.0,0.0,Mgr,22400,95539.0,1.0,HomeImp,124566.0,9.0
5741,312.30634,15.0,42.623573,0.0,0.0,ProfExe,43200,367917.0,4.0,HomeImp,466755.0,3.0
3085,183.843,18.0,42.297092,0.0,0.0,Other,16800,76852.0,3.0,DebtCon,90429.0,6.0
3473,85.84316,17.0,27.633516,0.0,0.0,Mgr,18300,68096.0,0.0,DebtCon,99051.0,1.0
5914,121.34944,10.0,41.612507,1.0,0.0,Office,66000,62296.0,0.0,HomeImp,143982.0,12.0
1985,246.83772,36.0,40.56013,0.0,0.0,Office,12900,64245.0,3.0,DebtCon,83823.0,13.0
4179,73.31793,24.0,37.138283,0.0,0.0,Mgr,21800,80092.0,7.0,DebtCon,98561.0,5.0
52,206.4266,25.0,40.115677,1.0,,Mgr,3200,67848.0,0.0,HomeImp,74566.0,10.0
3761,,,,,,,20000,99000.0,,HomeImp,140000.0,
5768,223.2,19.0,,0.0,0.0,Other,45000,87000.0,8.0,DebtCon,151000.0,16.0
5325,138.96666,23.0,,0.0,0.0,Mgr,29500,118000.0,1.0,DebtCon,169900.0,8.0
5445,185.7,21.0,,0.0,0.0,Mgr,32300,167000.0,3.0,DebtCon,221100.0,4.0
5044,199.73871,29.0,76.42148,0.0,0.0,ProfExe,26800,138216.0,1.0,DebtCon,170052.0,10.0
4137,136.39714,14.0,37.580532,0.0,0.0,Office,21600,70832.0,0.0,HomeImp,96503.0,13.0
466,204.48459,19.0,21.855494,0.0,0.0,Office,6900,49932.0,0.0,HomeImp,66042.0,20.0
42,187.06667,12.0,,0.0,0.0,Other,3000,20000.0,0.0,DebtCon,29750.0,2.0
3093,123.89342,65.0,62.559307,2.0,3.0,Mgr,16800,113021.0,2.0,,146222.0,5.0
5423,123.46883,24.0,33.63469,,,Other,31800,34302.0,,DebtCon,77481.0,10.0
780,118.63539,22.0,27.09304,0.0,0.0,Mgr,8400,78089.0,0.0,DebtCon,90660.0,9.0
1118,246.09477,36.0,17.257116,0.0,0.0,Office,9900,74009.0,0.0,DebtCon,108371.0,1.0
3424,293.35858,15.0,43.617714,0.0,0.0,Other,18100,62783.0,2.0,DebtCon,86066.0,0.0
2866,111.43725,11.0,36.95497,,,Office,15900,71841.0,0.0,HomeImp,96424.0,10.0
15,300.86667,8.0,,1.0,0.0,Other,2200,24280.0,0.0,HomeImp,34687.0,
1487,175.75688,8.0,22.956863,,,Mgr,11100,,,HomeImp,50262.0,5.0
4211,308.60345,18.0,39.234608,0.0,0.0,Other,21900,,0.0,DebtCon,57036.0,
5818,267.9,24.0,,7.0,1.0,Self,50000,167000.0,2.0,HomeImp,245000.0,22.0
414,94.00806,18.0,34.898415,1.0,0.0,Other,6500,58689.0,2.0,DebtCon,72557.0,0.0
4080,109.90069,10.0,4.384983,0.0,0.0,Other,21300,55140.0,1.0,DebtCon,81692.0,12.0
5598,235.63791,25.0,114.05053,6.0,0.0,Self,37300,68789.0,2.0,HomeImp,86172.0,2.0
698,89.23333,15.0,,0.0,0.0,Office,8100,54841.0,2.0,DebtCon,71400.0,6.0
4989,480.35602,56.0,33.714237,5.0,,ProfExe,26400,220432.0,,HomeImp,283978.0,6.0
2232,75.89242,14.0,36.395367,0.0,0.0,Other,13700,74015.0,2.0,DebtCon,113766.0,7.0
4376,225.32751,23.0,40.691956,,,Mgr,22800,76733.0,5.0,DebtCon,105624.0,1.0
2564,300.26666,19.0,,0.0,0.0,Other,15000,94705.0,2.0,DebtCon,114400.0,9.0
1172,182.63333,18.0,,0.0,0.0,ProfExe,10000,88777.5,2.0,DebtCon,112014.0,13.0
5275,258.73334,26.0,,1.0,0.0,ProfExe,28900,225000.0,2.0,DebtCon,285000.0,15.0
1708,125.92807,22.0,38.627026,1.0,0.0,Other,12000,35721.0,0.0,HomeImp,52938.0,23.0
3747,274.28256,16.0,32.469204,0.0,0.0,Office,19900,96435.0,3.0,DebtCon,130019.0,27.0
5775,195.64119,5.0,40.62162,0.0,0.0,Self,46200,117227.0,0.0,DebtCon,174882.0,12.0
5085,165.91933,20.0,36.170906,0.0,0.0,Office,27200,70730.0,0.0,DebtCon,93752.0,8.0
2376,133.37811,17.0,35.716614,2.0,,Sales,14300,94062.0,1.0,DebtCon,102052.0,14.0
580,75.666664,13.0,,2.0,0.0,ProfExe,7500,126000.0,1.0,HomeImp,151380.0,18.0
5758,116.437035,19.0,26.070435,,5.0,Other,44000,,,DebtCon,50760.0,
1926,189.91942,29.0,37.36856,3.0,2.0,Office,12700,72760.0,3.0,DebtCon,83604.0,6.0
3024,308.43332,16.0,,0.0,0.0,Other,16500,56500.0,3.0,DebtCon,80000.0,2.0
5351,88.93447,16.0,34.93727,0.0,0.0,Mgr,30300,36014.0,5.0,DebtCon,76525.0,14.0
5488,240.43333,26.0,,7.0,0.0,Self,33400,59000.0,3.0,HomeImp,85000.0,2.0
2292,183.60867,30.0,26.431314,0.0,2.0,ProfExe,13900,77007.0,0.0,DebtCon,96718.0,8.0
5364,115.21089,24.0,33.07135,,,Other,30600,35332.0,,DebtCon,71898.0,10.0
3568,190.95732,17.0,40.748234,0.0,0.0,,18700,118208.0,0.0,DebtCon,130216.0,14.0
5326,209.36667,30.0,,1.0,0.0,ProfExe,30000,224000.0,0.0,DebtCon,282000.0,5.0
1777,155.2,32.0,,0.0,0.0,Mgr,12100,67000.0,1.0,DebtCon,79100.0,5.0
2561,186.7,10.0,,0.0,0.0,Other,15000,,1.0,,94000.0,
2622,160.1036,22.0,41.007362,0.0,0.0,Other,15100,81461.0,0.0,DebtCon,93548.0,2.0
215,157.77104,13.0,72.67043,0.0,0.0,Other,5200,40564.0,1.0,HomeImp,39527.0,0.0
1880,173.46666,26.0,,0.0,0.0,Office,12500,77100.0,1.0,HomeImp,90550.0,
4593,177.5,16.0,,0.0,1.0,Self,24000,35000.0,0.0,DebtCon,,3.0
1812,117.91882,16.0,58.29599,0.0,5.0,Office,11800,74512.0,,HomeImp,93328.0,4.0
5037,217.21149,20.0,35.185856,0.0,0.0,Other,26800,139309.0,0.0,DebtCon,166621.0,5.0
2818,85.27403,8.0,33.565266,,,Other,15800,,2.0,DebtCon,30395.0,12.0
2502,156.33174,11.0,28.16444,0.0,0.0,ProfExe,14900,44588.0,2.0,DebtCon,72331.0,6.0
4326,151.71507,21.0,34.863598,0.0,0.0,Office,22500,57762.0,1.0,DebtCon,95790.0,3.0
3530,245.04938,13.0,25.18099,0.0,0.0,Other,18600,38674.0,0.0,HomeImp,63641.0,23.0
594,87.45287,23.0,37.005966,0.0,0.0,ProfExe,7600,133475.0,2.0,DebtCon,203936.0,1.0
3080,109.42943,12.0,28.160612,0.0,0.0,ProfExe,16700,53423.0,0.0,HomeImp,85685.0,5.0
903,121.199646,10.0,37.39024,0.0,0.0,Other,9000,81248.0,2.0,DebtCon,92503.0,0.0
3232,90.3,30.0,,1.0,2.0,Other,17300,73000.0,6.0,DebtCon,95000.0,5.0
4555,307.57275,27.0,36.690723,0.0,0.0,ProfExe,23800,188250.0,1.0,DebtCon,233800.0,2.0
1087,229.51274,32.0,37.923088,0.0,0.0,Other,9800,32550.0,1.0,DebtCon,52554.0,12.0
439,215.42241,19.0,19.493872,0.0,1.0,ProfExe,6700,134616.0,0.0,HomeImp,155034.0,13.0
4291,224.24133,12.0,33.82411,0.0,0.0,Office,22400,52597.0,0.0,DebtCon,69312.0,2.0
5042,84.766624,15.0,36.19146,0.0,0.0,Mgr,26800,35485.0,5.0,DebtCon,74949.0,14.0
4888,97.08615,25.0,30.619787,0.0,0.0,Other,25700,31333.0,2.0,DebtCon,56733.0,13.0
3879,219.08823,41.0,37.1555,0.0,0.0,Other,20300,21281.0,2.0,DebtCon,90551.0,22.0
3438,102.46098,19.0,38.34534,0.0,3.0,Sales,18200,67809.0,2.0,DebtCon,89339.0,0.0
382,164.31541,30.0,21.137981,3.0,0.0,ProfExe,6400,53476.0,1.0,DebtCon,70157.0,7.0
1806,232.237,11.0,25.23544,0.0,0.0,ProfExe,12200,27118.0,0.0,HomeImp,87982.0,19.0
2965,337.34232,49.0,35.41287,0.0,,Office,16300,84480.0,2.0,DebtCon,101243.0,30.0
3737,302.12787,20.0,39.510628,1.0,0.0,Mgr,19800,99137.0,1.0,HomeImp,121781.0,4.0
1215,122.3,5.0,,0.0,1.0,Other,10100,,1.0,DebtCon,25300.0,
2333,237.68228,17.0,33.089016,0.0,0.0,Other,14100,54081.0,0.0,DebtCon,68577.0,8.0
4021,154.2,30.0,,2.0,8.0,Mgr,21000,110000.0,3.0,DebtCon,138000.0,16.0
540,411.95206,50.0,40.396473,,,Other,7300,93428.0,1.0,HomeImp,118184.0,10.0
4746,120.4,39.0,,,,Mgr,25000,127491.0,,DebtCon,178453.0,1.0
3437,96.177795,16.0,34.709934,1.0,0.0,ProfExe,18200,93702.0,0.0,HomeImp,158647.0,4.0
3098,140.36214,17.0,34.002296,0.0,0.0,Other,16800,73280.0,0.0,DebtCon,103067.0,1.0
3267,276.06635,37.0,24.356594,0.0,0.0,ProfExe,17400,166345.0,0.0,DebtCon,202989.0,10.0
2158,182.69566,24.0,35.512672,2.0,1.0,Other,13500,59941.0,1.0,HomeImp,69336.0,29.0
1036,120.64456,34.0,35.98493,0.0,0.0,Other,9600,64758.0,0.0,HomeImp,63646.0,5.0
4516,143.41464,10.0,35.060318,1.0,0.0,Other,23500,,0.0,HomeImp,116983.0,
5750,108.58663,19.0,29.3713,,5.0,Other,43500,,,DebtCon,46571.0,
